"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","144.2","129.3","118.3","107.2","101.7","104.5","104.7","96.2","81.8","85.5","77.9","74.1","69.6","68.1","No data","No data"
"Albania","440.4","435.7","367.2","324.0","275.9","229.9","189.1","227.7","238.1","198.4","190.9","189.1","186.2","188.1","174.3","166.8"
"Algeria","303.1","259.8","239.6","217.5","200.9","196.7","190.7","142.9","136.4","119.7","108.7","103.1","80.6","82.0","76.6","79.0"
"Andorra","2641.2","2595.1","2456.4","2364.0","2172.4","2182.5","2255.4","2353.1","2535.0","2469.2","2304.9","2163.3","2041.8","1927.9","1818.6","1781.6"
"Angola","97.2","78.6","67.7","53.1","54.3","54.7","58.2","66.5","64.7","66.1","75.5","84.6","75.0","68.5","76.3","31.6"
"Antigua and Barbuda","367.7","353.6","340.5","339.1","323.8","320.2","301.3","306.3","294.6","283.5","254.5","248.8","242.6","208.8","212.0","188.2"
"Argentina","389.2","369.3","423.3","436.9","526.9","552.5","550.3","545.6","564.3","536.9","501.3","397.9","391.1","384.7","481.9","491.0"
"Armenia","733.1","451.7","527.3","373.3","126.0","217.2","163.1","187.4","222.4","197.8","243.5","262.4","139.8","115.5","111.1","114.5"
"Australia","No data","1399.4","1356.2","1231.1","1160.8","1126.9","1092.0","1021.7","975.5","952.4","895.3","868.5","814.5","762.1","732.6","680.7"
"Austria","1254.5","1231.9","1201.6","1130.5","1053.1","1012.6","973.1","930.7","904.9","867.3","835.1","829.2","783.8","739.9","691.8","661.8"
"Azerbaijan","944.3","761.1","689.1","614.7","557.2","582.8","603.6","433.7","456.8","469.6","457.9","342.9","248.1","127.0","111.1","104.0"
"Bahamas","865.2","970.6","926.8","952.3","911.1","884.8","859.8","916.2","923.1","849.5","742.1","673.5","625.4","586.9","557.8","547.2"
"Bahrain","829.3","769.7","660.8","594.1","340.6","344.4","338.3","276.4","288.6","301.7","314.7","340.3","389.8","414.2","410.0","381.5"
"Bangladesh","65.4","60.2","55.3","53.2","49.9","44.8","40.6","37.8","35.7","31.8","28.5","24.5","22.5","21.1","19.4","17.5"
"Barbados","647.5","638.7","623.6","581.8","552.0","461.2","437.7","434.5","412.4","397.4","371.9","357.2","333.5","296.3","287.7","287.4"
"Belarus","403.8","354.0","361.7","298.5","241.1","190.7","264.5","259.6","216.1","180.4","154.9","117.7","105.7","107.1","93.5","67.7"
"Belgium","841.5","847.3","818.8","776.3","762.3","729.5","701.9","658.9","635.3","593.3","545.3","551.9","584.0","No data","No data","No data"
"Belize","147.2","143.4","141.5","131.5","127.9","131.6","127.1","117.4","111.7","107.8","106.7","108.2","106.6","96.9","93.1","88.9"
"Benin","38.5","38.3","37.4","36.9","37.4","36.7","35.3","34.8","36.7","36.6","35.2","35.8","35.3","34.4","33.8","32.4"
"Bhutan","59.8","56.6","54.6","51.4","34.7","34.1","31.6","26.8","27.4","26.3","26.0","26.4","26.0","15.2","15.3","13.9"
"Bolivia (Plurinational State of)","128.7","125.0","126.7","108.7","97.6","95.0","84.3","74.4","72.8","72.5","72.6","68.5","68.9","66.1","62.9","56.4"
"Bosnia and Herzegovina","318.7","310.5","299.9","284.4","270.0","255.6","252.0","375.2","334.4","295.1","257.2","229.1","132.4","132.7","135.2","138.5"
"Botswana","354.5","312.4","324.2","271.5","242.6","240.5","207.6","142.8","136.6","140.8","144.0","141.1","152.4","143.4","131.3","132.1"
"Brazil","786.4","757.7","703.4","672.8","645.9","620.6","617.7","596.3","587.6","543.9","512.1","481.2","452.4","471.7","460.6","436.0"
"Brunei Darussalam","125.3","112.4","146.1","136.8","130.2","148.5","193.9","165.3","219.0","243.4","298.7","346.2","350.8","319.1","317.6","290.7"
"Bulgaria","729.7","693.9","630.6","600.8","510.6","472.3","426.4","393.4","344.4","325.6","283.2","254.3","235.1","221.9","205.7","150.7"
"Burkina Faso","40.6","38.3","38.5","29.2","28.3","27.6","27.5","23.2","21.7","19.9","16.9","16.2","13.0","13.1","13.8","13.0"
"Burundi","13.2","13.1","14.4","15.9","20.3","24.5","34.3","34.4","34.8","35.5","32.2","19.3","22.8","30.3","29.1","31.6"
"Cabo Verde","79.8","87.4","79.2","77.9","74.1","78.5","55.2","51.9","52.8","56.1","50.5","45.5","42.1","41.4","39.1","38.5"
"Cambodia","125.7","128.3","130.9","127.2","120.8","90.1","90.9","80.7","53.7","64.3","74.4","61.9","59.4","56.0","52.6","49.8"
"Cameroon","126.4","119.5","114.2","109.1","53.2","99.3","97.9","106.7","93.6","87.9","85.4","82.6","81.0","77.1","74.9","71.4"
"Canada","1216.7","1189.1","1173.4","1127.5","1111.0","1139.6","1087.2","1025.6","991.0","953.9","883.5","828.0","782.7","756.5","709.0","656.2"
"Central African Republic","13.9","14.0","11.8","17.8","17.1","16.7","17.5","16.8","16.3","16.1","15.8","16.0","14.8","14.8","14.2","13.9"
"Chad","61.5","57.2","54.3","50.0","48.2","56.1","53.7","50.7","50.2","53.4","46.9","46.5","33.3","51.8","31.9","28.4"
"Chile","746.4","703.3","670.3","607.2","561.1","509.4","487.8","482.5","468.8","432.3","396.2","382.0","377.5","353.1","338.2","315.5"
"China","306.5","278.9","257.1","233.5","207.4","191.2","186.8","169.2","158.5","153.4","144.9","134.5","127.0","115.5","104.6","101.2"
"Colombia","249.1","235.8","203.1","196.4","183.4","187.5","188.8","192.5","164.4","139.4","121.6","97.5","71.9","75.5","83.4","78.2"
"Comoros","92.6","94.9","96.0","95.8","96.3","97.0","99.6","102.5","106.1","107.1","107.2","104.3","104.9","108.1","111.1","118.2"
"Congo","92.5","56.3","55.7","43.3","41.5","44.8","53.5","39.2","44.1","40.1","42.4","47.1","50.3","44.8","41.0","32.7"
"Cook Islands","41.4","37.5","37.4","35.8","35.7","30.9","29.3","38.3","33.0","32.7","27.2","32.4","30.0","25.7","24.3","26.0"
"Costa Rica","309.0","321.6","285.6","287.8","294.8","275.7","268.8","290.0","271.5","246.5","230.6","203.8","199.9","185.0","171.3","171.3"
"C̫te d'Ivoire","98.3","107.4","105.0","109.5","111.8","117.7","119.2","119.1","122.7","109.8","97.8","86.9","74.7","69.8","82.2","97.7"
"Croatia","384.5","365.5","312.5","302.4","318.9","233.0","234.3","242.7","186.4","168.8","147.5","180.5","149.4","156.5","140.2","112.4"
"Cuba","281.4","250.0","262.7","241.1","230.9","176.9","173.3","170.4","172.4","172.3","164.4","147.8","146.9","132.9","122.6","82.0"
"Cyprus","1198.1","1141.4","1118.4","1153.4","1160.8","1083.2","1270.0","1233.3","1004.3","939.0","884.5","823.9","765.6","732.1","710.0","662.7"
"Czechia","435.4","429.6","390.3","332.1","324.1","320.5","337.7","318.2","241.6","202.0","184.6","149.1","135.2","No data","No data","No data"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","15.0","15.2","12.6","10.9","9.7","10.8","18.4","13.3","13.0","12.4","11.6","11.9","10.8","10.1","10.3","5.9"
"Denmark","806.1","787.2","750.2","736.7","740.1","691.7","671.3","629.4","593.3","552.9","505.4","488.6","441.6","432.4","414.6","392.8"
"Djibouti","32.8","31.3","30.5","31.9","32.3","31.9","33.5","34.1","39.5","39.9","38.5","37.5","38.5","38.9","38.0","36.5"
"Dominica","171.1","175.0","170.5","168.4","158.7","155.0","148.6","159.4","146.9","122.8","123.7","103.0","102.6","94.2","91.7","88.7"
"Dominican Republic","457.1","412.4","379.2","357.0","330.2","330.4","273.2","253.6","237.1","237.3","239.7","220.6","215.4","214.4","202.1","197.2"
"Ecuador","489.5","470.8","456.5","439.3","398.5","386.7","351.6","334.1","299.3","309.5","296.0","269.0","244.2","190.7","147.5","132.4"
"Egypt","345.0","328.5","328.3","321.8","295.2","280.1","269.8","269.6","243.6","244.8","245.1","228.2","236.7","235.7","227.3","196.4"
"El Salvador","194.9","188.6","182.1","191.3","184.2","187.7","188.8","180.6","180.2","166.6","209.1","213.0","215.5","220.5","222.5","220.8"
"Equatorial Guinea","592.3","443.1","421.4","358.5","342.9","375.1","418.8","309.0","323.0","297.1","108.4","144.8","145.1","135.6","295.4","202.5"
"Eritrea","29.4","29.0","28.6","28.0","25.0","25.2","26.0","23.4","26.5","26.4","27.1","26.9","30.8","34.6","36.8","37.9"
"Estonia","461.0","431.9","404.0","354.0","333.3","324.8","298.0","300.9","260.8","250.3","189.3","177.1","149.3","No data","No data","No data"
"Eswatini","123.0","121.0","120.1","117.6","127.4","135.0","131.8","143.5","135.6","128.6","121.2","109.2","102.2","98.9","95.8","94.1"
"Ethiopia","37.8","35.5","27.8","27.6","28.0","27.8","18.4","15.7","14.5","12.1","9.5","9.9","9.8","10.7","10.0","9.1"
"Fiji","113.5","111.4","104.6","94.6","89.2","79.4","83.3","59.1","62.3","53.5","39.8","41.3","34.6","32.3","32.2","30.0"
"Finland","902.7","875.7","861.8","823.5","814.9","791.1","753.3","728.2","667.3","621.2","557.3","531.4","494.9","518.9","494.4","476.4"
"France","957.3","950.0","934.9","892.7","884.3","839.9","813.4","777.5","730.1","699.5","668.3","630.6","605.8","No data","No data","No data"
"Gabon","193.6","174.1","172.0","152.5","150.1","131.5","264.0","210.3","239.9","235.9","243.6","269.8","284.4","279.8","273.9","239.8"
"Gambia","29.2","28.7","25.8","31.2","32.4","31.0","32.5","32.1","26.9","24.1","20.9","18.5","20.3","25.6","24.3","25.7"
"Georgia","421.1","507.7","491.4","482.7","451.1","439.1","406.0","356.4","325.8","287.4","274.0","239.2","214.2","177.9","150.7","139.6"
"Germany","831.9","818.7","804.8","794.0","767.1","730.4","691.1","936.0","882.1","839.1","788.7","756.7","682.2","634.6","588.7","559.0"
"Ghana","98.4","112.8","103.6","88.2","91.3","97.4","92.9","95.2","84.1","81.3","129.6","116.8","111.6","108.2","105.7","102.9"
"Greece","866.9","852.7","811.4","747.4","803.7","834.1","906.5","1207.9","No data","No data","No data","No data","No data","No data","No data","No data"
"Grenada","386.4","384.5","373.0","360.1","359.1","350.4","338.4","349.3","329.1","282.1","264.8","230.2","253.3","252.3","241.4","243.1"
"Guatemala","292.5","290.1","280.8","285.7","276.1","273.7","269.0","279.0","282.6","271.7","255.5","242.3","234.1","228.6","222.1","157.1"
"Guinea","33.1","35.3","37.6","36.4","37.4","34.1","33.3","32.8","34.4","29.7","27.7","26.4","24.2","27.4","25.5","24.2"
"Guinea-Bissau","37.3","38.6","40.1","38.2","34.1","38.9","29.7","37.7","34.8","34.4","31.3","29.3","25.9","26.4","28.1","29.5"
"Guyana","136.4","146.0","146.3","133.6","126.3","113.3","101.2","88.2","80.1","66.9","55.7","44.2","43.0","29.5","30.0","27.6"
"Haiti","48.6","50.9","49.6","48.5","45.1","47.7","51.0","48.3","41.1","39.5","40.5","41.7","43.4","44.7","46.2","47.5"
"Honduras","191.4","190.7","195.5","193.5","171.8","166.1","161.7","183.2","160.2","146.3","128.4","113.1","102.7","93.6","88.0","79.9"
"Hungary","636.2","598.3","591.9","593.6","575.9","532.9","474.1","456.4","426.7","417.4","400.0","373.3","369.4","No data","No data","No data"
"Iceland","762.5","738.3","715.0","683.3","663.2","662.3","668.7","643.4","621.4","622.2","636.6","632.6","597.2","0.0","0.0","0.0"
"India","174.8","155.6","151.1","116.3","105.7","106.1","103.4","99.6","98.1","90.0","85.0","81.4","75.5","73.5","70.8","61.8"
"Indonesia","226.0","216.3","207.4","205.4","200.1","194.4","139.2","133.6","134.6","124.8","116.6","82.0","81.1","70.8","66.1","62.5"
"Iran (Islamic Republic of)","588.1","606.7","636.3","745.6","797.0","812.4","689.4","543.1","488.0","443.0","451.1","412.4","360.2","305.9","314.2","283.4"
"Iraq","367.9","273.0","256.8","247.5","93.1","105.2","100.6","76.8","103.7","87.4","85.1","103.2","99.3","No data","No data","No data"
"Ireland","1601.1","1565.5","1522.4","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Israel","No data","No data","882.4","832.4","789.0","747.7","749.8","735.8","749.1","667.7","No data","No data","No data","No data","No data","No data"
"Italy","842.0","797.4","782.3","776.5","738.3","677.7","673.9","678.7","626.8","609.8","566.6","575.1","565.3","566.8","552.1","560.3"
"Jamaica","200.2","204.3","203.7","187.7","189.0","174.6","172.6","199.5","184.5","144.5","149.3","144.1","150.5","129.8","178.3","154.6"
"Japan","No data","673.4","657.8","640.9","614.3","577.0","558.6","535.2","508.9","505.6","461.9","457.3","439.0","403.6","383.2","372.9"
"Jordan","205.3","199.6","213.9","214.9","221.4","224.1","260.6","311.2","297.1","296.1","315.1","303.6","302.4","311.9","309.8","289.6"
"Kazakhstan","356.5","336.3","299.8","282.5","226.2","261.4","272.8","252.3","243.6","223.1","215.1","205.4","186.9","169.1","136.4","159.2"
"Kenya","75.8","73.6","66.8","70.5","69.1","62.7","63.0","60.1","57.9","52.0","49.7","47.0","45.8","53.1","54.1","51.6"
"Kiribati","6.5","6.1","6.0","6.3","5.6","5.4","5.8","5.9","4.7","4.7","5.3","4.4","4.5","4.7","4.3","4.6"
"Kuwait","473.3","335.3","305.8","305.0","280.6","311.9","395.6","379.3","414.6","377.8","398.7","422.7","430.7","414.2","373.5","335.3"
"Kyrgyzstan","138.2","140.7","123.5","107.8","90.5","82.3","73.7","86.1","74.0","73.5","68.1","60.7","57.1","41.9","39.8","37.3"
"Lao People's Democratic Republic","79.3","75.4","66.0","54.2","47.9","72.5","67.1","58.5","63.1","76.5","80.5","77.7","70.0","51.4","50.5","37.9"
"Latvia","607.6","524.6","487.4","454.4","399.3","425.9","410.3","429.8","432.1","346.3","355.2","328.3","302.2","291.5","266.4","213.7"
"Lebanon","537.4","541.8","583.3","609.2","710.5","707.1","641.2","651.7","626.6","571.5","509.1","532.8","563.2","621.4","708.4","743.6"
