"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Lesotho","42.3","42.2","42.0","44.3","43.4","46.2","41.4","41.8","40.9","35.3","34.2","33.1","35.3","39.3","39.9","41.9"
"Liberia","27.7","29.0","27.0","27.0","27.3","25.3","24.8","25.7","23.3","16.9","19.3","18.2","5.9","7.4","7.7","11.2"
"Libya","No data","No data","No data","No data","230.0","287.2","301.7","181.3","204.2","209.6","213.4","237.3","285.7","282.0","368.3","357.2"
"Lithuania","634.4","574.7","550.0","503.0","425.5","381.6","365.1","373.3","315.7","309.8","269.1","238.7","180.1","165.1","152.8","134.8"
"Luxembourg","1105.3","1089.5","1066.7","992.5","944.5","900.0","866.8","765.8","806.9","906.8","833.7","783.2","721.6","685.1","623.5","586.6"
"Madagascar","21.6","22.0","22.8","22.1","25.1","31.7","31.2","30.2","30.3","29.2","28.9","27.4","26.7","24.6","26.6","26.7"
"Malawi","19.0","13.4","11.7","12.0","11.0","11.2","15.9","16.0","13.9","9.9","5.9","5.3","6.0","4.3","4.0","4.3"
"Malaysia","509.5","459.5","417.0","392.9","362.5","331.1","309.4","299.0","310.6","281.6","258.4","245.6","224.2","192.6","179.5","169.9"
"Maldives","272.6","372.2","389.8","394.3","455.9","435.4","407.1","480.6","449.5","413.4","405.0","393.2","282.9","274.2","268.6","146.1"
"Mali","55.8","54.5","57.9","51.5","52.3","56.8","58.0","56.2","53.5","49.5","45.7","43.2","45.4","42.0","41.0","43.9"
"Malta","1365.1","1240.1","902.1","877.9","873.0","812.6","744.5","738.7","681.6","650.8","601.4","527.9","502.3","450.0","401.5","329.4"
"Marshall Islands","114.2","109.1","102.8","101.6","102.4","98.9","92.4","93.9","89.4","82.3","78.4","73.8","69.5","66.8","64.2","60.1"
"Mauritania","92.5","83.9","71.5","70.8","67.8","71.0","80.9","79.7","80.7","77.1","83.0","81.9","83.3","82.4","82.1","79.0"
"Mauritius","565.5","538.0","469.8","398.3","392.4","386.8","379.1","364.9","277.4","249.3","221.6","176.6","164.2","152.2","133.1","125.7"
"Mexico","482.5","475.4","473.0","471.1","445.4","455.9","463.3","448.5","453.6","434.5","417.0","387.4","372.6","No data","No data","No data"
"Micronesia (Federated States of)","12.5","11.8","12.5","13.7","14.8","15.2","16.1","16.4","17.0","17.6","17.8","15.7","14.1","12.5","11.7","10.3"
"Monaco","652.5","660.2","614.5","562.6","544.6","519.1","502.1","507.4","476.1","447.0","435.9","418.3","399.3","366.9","347.2","325.3"
"Mongolia","201.6","185.3","177.0","128.6","109.5","85.5","78.8","78.0","71.8","65.4","72.0","60.5","50.6","54.9","52.3","50.7"
"Montenegro","310.0","299.0","291.4","277.1","285.5","270.6","263.9","303.1","265.5","194.5","165.8","150.2","142.5","149.8","132.4","108.8"
"Morocco","242.5","235.5","228.6","229.7","226.9","224.1","204.9","187.9","177.8","164.8","170.2","157.6","142.1","129.0","118.0","107.3"
"Mozambique","4.4","4.3","4.4","4.3","3.9","3.8","4.0","3.9","4.1","4.2","3.9","3.9","3.8","3.5","2.8","2.8"
"Myanmar","197.5","182.0","58.4","56.9","53.7","53.7","57.4","51.7","43.9","39.2","38.8","33.8","29.6","26.0","21.2","18.8"
"Namibia","261.6","248.4","279.0","318.9","299.8","261.3","218.1","181.5","208.5","299.6","280.6","217.6","204.2","176.2","166.1","162.3"
"Nauru","102.3","73.5","58.1","42.7","44.9","44.1","41.2","57.7","35.6","39.2","38.6","50.1","48.1","48.4","50.4","52.1"
"Nepal","107.5","98.4","90.3","76.4","73.6","65.8","52.6","51.5","46.8","31.7","38.7","38.4","35.5","33.6","32.3","29.5"
"Netherlands","1024.9","1032.0","1006.1","919.5","865.2","811.3","794.9","800.3","683.2","647.0","1131.7","1039.9","955.6","No data","No data","No data"
"New Zealand","No data","No data","675.4","628.0","608.2","583.8","571.1","527.3","429.6","477.6","431.6","404.4","No data","405.4","399.4","353.1"
"Nicaragua","155.8","148.3","141.0","133.5","125.4","120.7","118.4","121.1","115.5","99.8","86.9","84.5","80.1","80.3","69.9","68.4"
"Niger","36.4","32.4","30.9","31.9","31.3","30.8","29.7","29.8","29.8","28.9","26.8","26.2","24.6","22.9","22.1","21.3"
"Nigeria","158.7","148.1","140.8","136.3","134.1","131.4","228.0","198.3","192.2","188.8","169.5","162.8","151.8","65.9","79.4","65.5"
"Niue","14.9","14.5","14.3","14.3","14.1","12.9","15.4","14.3","13.0","12.9","11.6","10.3","10.3","10.7","8.9","7.5"
"Norway","908.5","908.7","901.4","880.3","855.5","794.1","785.1","781.9","737.3","716.7","677.2","639.3","599.6","No data","No data","No data"
"Oman","192.2","153.2","154.2","196.3","195.3","210.7","233.8","183.9","185.5","174.0","168.6","192.8","191.8","191.1","203.8","194.8"
"Pakistan","92.5","90.3","81.3","70.1","70.5","79.6","81.7","90.9","95.0","92.7","76.9","57.4","54.6","50.8","51.8","55.2"
"Palau","390.5","395.2","395.2","397.4","400.3","405.3","375.1","362.6","368.4","333.8","297.7","274.7","258.3","254.4","196.7","199.9"
"Panama","576.4","546.1","498.3","482.3","386.4","352.4","328.4","319.8","297.4","263.7","243.0","230.7","207.7","205.4","194.1","188.7"
"Papua New Guinea","5.7","5.0","6.9","8.0","8.9","7.8","6.7","5.0","4.9","4.8","4.7","5.1","4.8","5.0","4.3","4.0"
"Paraguay","335.8","312.5","292.3","261.1","256.3","237.2","203.4","220.7","193.7","178.8","165.1","161.7","151.3","143.8","159.6","156.4"
"Peru","253.8","233.9","237.6","239.6","221.1","213.0","210.1","202.6","177.0","152.1","128.1","121.7","125.0","126.1","118.9","111.4"
"Philippines","219.7","205.6","209.9","193.9","174.4","156.8","149.3","140.5","127.7","114.7","104.0","76.7","71.9","58.4","56.5","55.0"
"Poland","510.0","470.3","460.2","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Portugal","899.1","880.0","837.2","849.2","823.4","812.2","787.7","787.9","729.6","696.3","616.8","579.5","538.6","478.9","481.9","468.6"
"Qatar","569.0","408.9","417.1","466.8","550.7","636.4","706.0","465.9","557.6","603.4","630.1","772.3","796.6","829.8","749.2","698.2"
"Republic of Korea","1114.5","1056.4","994.4","947.5","877.8","831.5","757.3","710.3","664.2","600.1","533.4","476.8","442.7","382.7","356.3","330.7"
"Republic of Moldova","243.1","202.4","210.5","200.6","209.7","196.4","224.7","197.6","168.4","156.5","120.6","91.5","83.8","77.9","64.7","52.4"
"Romania","239.6","219.4","212.2","205.7","207.7","195.7","186.0","155.5","122.7","118.9","101.5","123.3","62.8","58.2","53.5","47.7"
"Russian Federation","550.4","512.0","474.4","460.8","433.2","420.8","443.8","394.4","320.1","290.4","234.1","214.6","213.8","197.6","173.0","148.7"
"Rwanda","49.4","46.2","45.6","46.3","45.0","41.9","38.8","37.3","33.1","29.8","23.0","19.4","15.2","11.3","10.2","8.1"
"Saint Kitts and Nevis","900.9","867.8","813.1","761.7","761.5","717.0","714.5","721.2","658.9","637.6","545.2","486.5","459.4","452.2","435.5","416.1"
"Saint Lucia","358.5","363.2","494.0","465.8","493.0","453.9","419.1","437.4","418.0","348.9","323.1","310.9","277.0","252.8","234.6","224.1"
"Saint Vincent and the Grenadines","111.1","111.5","104.5","98.5","98.1","91.1","88.0","84.1","76.4","71.7","64.7","61.2","57.1","51.8","47.7","43.7"
"Samoa","41.6","42.8","41.8","41.5","40.6","39.2","40.0","40.7","37.1","33.9","32.5","28.0","27.2","25.4","21.6","17.3"
"San Marino","702.9","721.6","717.1","697.9","711.5","697.1","767.1","759.7","694.4","669.0","629.1","639.0","628.6","716.3","751.3","743.0"
"Sao Tome and Principe","42.3","37.6","38.4","37.0","35.4","37.2","41.1","43.7","55.2","61.1","68.0","68.9","64.0","65.6","68.2","45.7"
"Saudi Arabia","895.4","710.7","650.5","593.9","546.7","545.2","559.2","423.2","392.9","343.8","336.3","339.9","337.2","338.4","356.6","341.6"
"Senegal","54.9","53.2","51.0","49.0","47.8","47.7","48.1","49.6","47.7","44.0","44.4","63.1","55.3","49.1","45.1","41.6"
"Serbia","554.7","558.3","536.8","481.5","475.8","464.4","445.4","453.3","403.1","318.4","256.3","206.1","169.2","152.5","140.1","128.4"
"Seychelles","22.0","22.8","30.6","62.0","35.0","71.7","29.6","30.5","35.2","35.7","41.0","46.9","67.0","82.1","98.8","120.6"
"Sierra Leone","98.5","141.5","125.2","87.0","81.2","60.6","71.8","70.0","65.3","59.1","58.3","57.1","56.3","53.4","43.6","42.6"
"Singapore","1771.6","1630.0","1594.4","1415.9","1335.2","1305.2","1231.1","1275.2","1184.4","1115.4","1067.3","1039.2","1012.1","993.0","953.3","898.8"
"Slovakia","418.2","397.7","542.4","566.5","503.1","548.2","487.3","406.9","467.1","388.7","271.0","No data","No data","No data","No data","No data"
"Slovenia","784.7","784.1","748.2","707.8","655.2","633.7","635.3","617.4","590.5","540.7","505.9","479.8","463.8","No data","No data","No data"
"Solomon Islands","5.7","6.0","6.2","5.7","5.7","5.9","5.7","6.0","6.0","5.8","5.1","4.8","2.8","2.7","3.0","3.0"
"Somalia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"South Africa","478.2","450.2","427.0","414.7","391.6","382.0","375.1","353.8","345.7","341.5","370.6","348.4","374.5","364.2","363.0","346.8"
"South Sudan","46.1","31.2","29.7","33.1","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Spain","922.0","916.9","849.3","805.9","765.5","729.1","719.0","735.8","703.4","664.1","603.1","572.2","545.8","No data","No data","No data"
"Sri Lanka","159.4","133.6","122.8","115.8","121.9","112.0","127.2","112.9","95.1","81.9","75.3","72.2","57.7","64.4","61.9","61.0"
"Sudan","185.4","159.5","203.4","145.9","173.0","149.5","153.7","165.1","163.1","118.9","93.2","85.4","81.6","65.2","62.2","56.0"
"Suriname","417.5","462.2","429.3","412.9","407.6","368.0","359.0","373.3","328.3","332.4","478.0","452.0","402.9","386.7","335.9","259.5"
"Sweden","865.6","865.3","847.1","806.3","751.9","643.2","643.4","633.8","596.6","558.0","514.0","495.3","465.1","456.4","433.8","No data"
"Switzerland","2219.7","2086.7","1932.6","1854.3","1813.6","1741.4","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Syrian Arab Republic","No data","No data","No data","85.8","98.7","91.5","94.7","85.3","88.8","86.2","84.9","91.1","96.3","93.2","89.2","93.2"
"Tajikistan","122.2","111.8","102.5","91.5","81.9","83.4","79.9","77.4","69.7","57.7","53.6","49.1","44.3","39.3","35.5","31.9"
"Thailand","128.7","128.6","113.3","112.5","101.2","105.9","107.8","92.0","80.1","84.3","109.8","99.9","98.2","94.9","97.1","95.0"
"Republic of North Macedonia","304.9","301.4","287.5","276.8","271.5","287.0","249.0","219.2","226.7","235.1","246.1","255.4","256.5","241.0","214.7","228.6"
"Timor-Leste","14.5","14.0","13.4","12.4","12.1","12.7","9.4","11.0","12.8","14.7","19.7","15.6","14.1","15.9","No data","No data"
"Togo","54.3","55.0","53.4","49.1","51.0","50.7","41.5","36.0","36.0","34.3","32.9","33.4","34.6","30.8","30.6","31.8"
"Tonga","44.4","42.4","40.4","38.6","39.2","42.1","40.8","37.3","37.2","36.7","36.2","31.0","29.8","29.0","25.8","25.0"
"Trinidad and Tobago","1015.2","835.3","772.4","762.2","651.1","625.0","887.8","639.7","663.9","588.5","587.7","552.2","511.6","417.4","348.0","334.8"
"Tunisia","334.9","323.0","306.6","300.6","274.8","259.0","245.9","233.9","228.5","215.0","207.8","197.0","181.1","166.7","153.7","143.1"
"Turkey","217.8","225.2","212.9","192.5","192.4","No data","167.3","230.5","244.6","220.2","189.5","152.5","139.9","No data","No data","No data"
"Turkmenistan","761.0","604.0","503.1","433.5","403.9","368.6","325.1","420.0","286.6","448.4","435.1","408.1","271.4","206.0","237.7","155.4"
"Tuvalu","19.6","18.7","18.5","17.8","18.0","15.0","15.8","20.1","16.7","13.0","18.0","19.3","24.1","21.8","17.0","3.1"
"Uganda","64.7","63.0","58.2","61.1","62.4","61.9","90.9","103.6","93.0","84.7","72.4","56.5","57.8","49.4","37.5","32.3"
"Ukraine","240.1","264.2","272.9","254.7","231.1","200.9","195.8","191.9","194.5","180.8","169.4","167.5","151.4","135.7","125.7","110.7"
"United Arab Emirates","697.4","711.7","653.6","579.9","590.7","648.7","633.1","731.2","795.2","810.6","826.5","902.2","849.6","839.9","461.6","605.3"
"United Kingdom of Great Britain and Northern Ireland","813.9","788.7","765.2","523.9","487.6","464.3","438.5","438.6","443.3","403.0","391.6","384.0","377.6","343.4","318.8","285.5"
"United Republic of Tanzania","27.1","27.1","28.9","31.7","37.8","34.6","33.9","34.1","35.3","32.7","34.0","37.8","38.2","30.8","25.3","19.2"
"United States of America","4734.0","4531.1","4414.7","4343.4","4195.3","4092.1","3979.3","3904.0","3848.8","3662.8","3525.7","3342.1","3162.4","2925.6","2695.7","2547.1"
"Uruguay","526.0","521.0","521.4","527.4","540.7","540.9","514.8","436.2","503.2","497.5","481.9","456.9","442.8","447.1","489.8","502.1"
"Uzbekistan","173.4","162.6","141.1","133.7","118.0","107.7","96.5","85.0","83.0","87.5","76.2","70.4","63.0","64.8","56.3","54.5"
"Vanuatu","12.7","12.2","12.2","12.1","11.8","11.8","11.1","10.6","10.5","10.5","10.3","10.0","9.7","9.6","9.6","9.4"
"Venezuela (Bolivarian Republic of)","303.1","326.4","340.4","357.6","440.8","442.9","512.2","436.5","410.0","342.7","306.9","288.3","268.3","284.0","321.9","293.0"
"Viet Nam","158.7","149.7","157.6","131.4","106.8","101.2","83.8","77.4","77.2","70.0","60.4","52.1","42.3","38.4","38.4","35.6"
"Yemen","118.5","148.8","150.3","145.7","133.4","169.9","186.4","163.0","161.5","142.0","127.4","119.6","109.1","77.7","74.2","66.2"
"Zambia","79.5","80.9","78.0","76.2","75.9","70.9","57.4","49.7","47.8","49.5","52.0","53.1","48.0","44.3","47.9","51.0"
"Zimbabwe","76.5","71.0","69.6","77.0","78.1","86.8","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
